,年度,所属球団,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,死球,三振,併殺打,打率,長打率,出塁率
0,2004,ヤクルト,10,16,15,1,3,0,0,0,3,0,1,0,0,0,1,0,6,0,0.2,0.2,0.25
1,2005,ヤクルト,144,649,588,100,202,26,4,3,245,28,29,7,18,1,37,5,113,5,0.344,0.41700000000000004,0.387
2,2006,東京ヤクルト,146,680,599,112,192,26,3,13,263,62,41,12,4,1,68,8,78,3,0.321,0.439,0.396
3,2007,東京ヤクルト,143,652,557,114,193,26,2,20,283,58,17,6,4,3,80,8,66,4,0.34600000000000003,0.508,0.434
4,2008,東京ヤクルト,112,500,444,85,154,29,5,14,235,64,31,9,1,3,42,10,47,10,0.34700000000000003,0.529,0.413
5,2009,東京ヤクルト,142,624,531,87,161,23,2,16,236,66,18,10,1,4,75,13,65,9,0.303,0.444,0.4
6,2010,東京ヤクルト,144,667,583,92,209,44,1,14,297,63,19,4,0,3,63,18,61,10,0.358,0.509,0.435
7,2011,東京ヤクルト,144,643,583,73,170,18,5,4,210,44,8,3,0,0,51,9,55,6,0.292,0.36,0.358
8,2018,東京ヤクルト,127,567,495,85,162,37,3,10,235,67,3,4,0,2,51,19,48,13,0.327,0.475,0.409
9,2019,東京ヤクルト,134,565,489,84,145,19,2,16,216,58,1,2,1,3,61,11,72,13,0.297,0.442,0.385
10,2020,東京ヤクルト,107,425,357,64,113,30,1,18,199,51,2,1,0,1,62,5,51,6,0.317,0.557,0.424
11,2021,東京ヤクルト,122,501,446,57,115,29,0,9,171,56,0,0,0,2,43,10,44,10,0.258,0.38299999999999995,0.335
12,2022,東京ヤクルト,81,256,222,27,55,8,1,5,80,22,3,1,0,3,28,3,28,7,0.248,0.36,0.336
13,nan,通　算,1556,6745,5909,981,1874,315,29,142,2673,639,173,59,29,26,662,119,734,96,0.317,0.452,0.395
