,年度,所属球団,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,死球,三振,併殺打,打率,長打率,出塁率
0,2012,中　日,41,73,71,5,11,1,0,2,18,3,0,0,0,0,2,0,18,2,0.155,0.254,0.17800000000000002
1,2013,中　日,66,212,197,19,49,13,1,5,79,27,0,0,2,1,11,1,34,2,0.249,0.401,0.29
2,2014,中　日,61,156,144,14,37,8,1,6,65,14,0,0,2,2,8,0,29,2,0.257,0.451,0.292
3,2015,中　日,51,172,154,10,32,6,1,4,52,18,2,1,1,0,16,1,42,5,0.20800000000000002,0.33799999999999997,0.287
4,2016,中　日,75,283,255,28,64,14,2,4,94,29,0,1,1,1,22,4,84,7,0.251,0.369,0.319
5,2017,中　日,41,148,129,12,30,6,0,2,42,10,0,2,1,3,15,0,31,3,0.233,0.326,0.306
6,2018,中　日,128,477,433,35,110,26,2,11,173,69,0,0,8,3,30,3,89,9,0.254,0.4,0.305
7,2019,中　日,117,471,430,50,126,28,5,7,185,59,3,4,5,1,32,3,70,10,0.293,0.43,0.345
8,2020,中　日,108,438,394,46,120,25,1,7,168,46,1,1,0,3,39,2,70,13,0.305,0.426,0.368
9,2021,中　日,137,520,475,40,123,27,0,5,165,39,1,0,0,4,40,1,79,21,0.259,0.34700000000000003,0.315
10,2022,中　日,78,290,265,18,66,7,1,2,81,21,1,1,1,1,16,7,43,8,0.249,0.306,0.308
11,nan,通　算,903,3240,2947,277,768,161,14,55,1122,335,8,10,21,19,231,22,589,82,0.261,0.381,0.317
