,年度,所属球団,登板,勝利,敗北,セーブ,H,HP,完投,完封勝,無四球,勝率,打者,投球回,安打,本塁打,四球,死球,三振,暴投,ボーク,失点,自責点,防御率
0,2011,中　日,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,4,9.0,2.0,1.0,0.0,2.0,1.0,0.0,7.0,6.0,13.5
1,2012,中　日,9.0,4.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.5710000000000001,188.0,44.2,40.0,1.0,14.0,3.0,41.0,3.0,0.0,15.0,13.0,2.62
2,2013,中　日,25.0,10.0,10.0,0.0,0.0,0.0,1.0,0.0,1.0,0.5,624.0,146.1,151.0,12.0,43.0,5.0,117.0,3.0,0.0,65.0,62.0,3.81
3,2014,中　日,25.0,10.0,8.0,0.0,0.0,0.0,3.0,1.0,1.0,0.556,682.0,165,156.0,14.0,47.0,6.0,119.0,3.0,0.0,60.0,53.0,2.89
4,2015,中　日,28.0,11.0,10.0,0.0,1.0,1.0,6.0,3.0,1.0,0.524,826.0,207.1,169.0,12.0,47.0,3.0,154.0,1.0,0.0,67.0,58.0,2.52
5,2016,中　日,19.0,7.0,10.0,0.0,0.0,0.0,3.0,1.0,1.0,0.41200000000000003,547.0,129.2,126.0,11.0,37.0,2.0,85.0,0.0,0.0,59.0,51.0,3.54
6,2017,中　日,24.0,7.0,8.0,0.0,0.0,0.0,2.0,1.0,0.0,0.467,629.0,147.2,143.0,17.0,51.0,6.0,117.0,0.0,0.0,71.0,66.0,4.02
7,2018,中　日,6.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.0,27.1,32.0,7.0,19.0,0.0,21.0,1.0,0.0,27.0,26.0,8.56
8,2019,中　日,25.0,9.0,8.0,0.0,0.0,0.0,2.0,2.0,0.0,0.529,696.0,177.2,132.0,18.0,43.0,2.0,156.0,2.0,0.0,52.0,51.0,2.58
9,2020,中　日,20.0,11.0,6.0,0.0,0.0,0.0,10.0,6.0,2.0,0.647,559.0,148.2,106.0,13.0,23.0,0.0,148.0,3.0,0.0,33.0,30.0,1.82
10,2021,中　日,22.0,7.0,11.0,0.0,0.0,0.0,1.0,0.0,1.0,0.389,566.0,143.1,121.0,12.0,26.0,2.0,118.0,1.0,0.0,48.0,47.0,2.95
11,2022,中　日,23.0,8.0,8.0,0.0,0.0,0.0,4.0,2.0,2.0,0.5,625.0,157,126.0,7.0,37.0,6.0,108.0,1.0,0.0,50.0,43.0,2.46
12,nan,通　算,227.0,84.0,86.0,0.0,2.0,2.0,32.0,16.0,9.0,0.494,6094.0,1498.2,1311.0,126.0,388.0,35.0,1186.0,19.0,0.0,554.0,506.0,3.04
