,年度,所属球団,登板,勝利,敗北,セーブ,H,HP,完投,完封勝,無四球,勝率,打者,投球回,安打,本塁打,四球,死球,三振,暴投,ボーク,失点,自責点,防御率
0,2013,東北楽天,27.0,15.0,8.0,0.0,0.0,1.0,3.0,0.0,0.0,0.652,695.0,170,142.0,14.0,51.0,6.0,134.0,4.0,0.0,65.0,63.0,3.34
1,2014,東北楽天,30.0,14.0,10.0,0.0,0.0,0.0,9.0,7.0,5.0,0.583,821.0,202.2,187.0,14.0,39.0,6.0,204.0,1.0,0.0,73.0,68.0,3.02
2,2015,東北楽天,28.0,10.0,11.0,0.0,0.0,0.0,3.0,1.0,0.0,0.47600000000000003,797.0,194.2,176.0,14.0,48.0,4.0,215.0,6.0,1.0,68.0,63.0,2.91
3,2016,東北楽天,28.0,11.0,11.0,0.0,0.0,0.0,2.0,0.0,1.0,0.5,820.0,195,192.0,12.0,50.0,6.0,216.0,5.0,0.0,87.0,63.0,2.91
4,2017,東北楽天,25.0,15.0,7.0,0.0,0.0,0.0,8.0,2.0,0.0,0.682,750.0,185.2,148.0,11.0,48.0,3.0,222.0,12.0,0.0,63.0,53.0,2.57
5,2018,東北楽天,27.0,10.0,11.0,0.0,0.0,1.0,4.0,1.0,0.0,0.47600000000000003,759.0,180.1,171.0,18.0,51.0,3.0,187.0,5.0,0.0,78.0,74.0,3.69
6,2019,東北楽天,12.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,269.0,68,58.0,7.0,10.0,3.0,67.0,1.0,1.0,27.0,21.0,2.78
7,2020,東北楽天,18.0,5.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41700000000000004,475.0,109,110.0,13.0,34.0,5.0,105.0,3.0,0.0,56.0,48.0,3.96
8,2021,東北楽天,23.0,11.0,5.0,0.0,0.0,0.0,2.0,1.0,1.0,0.688,584.0,144.2,123.0,18.0,35.0,3.0,152.0,3.0,0.0,56.0,51.0,3.17
9,2022,東北楽天,21.0,10.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.556,536.0,125,127.0,9.0,38.0,4.0,104.0,3.0,0.0,54.0,49.0,3.53
10,nan,通　算,239.0,106.0,83.0,0.0,0.0,2.0,32.0,12.0,7.0,0.561,6506.0,1575,1434.0,130.0,404.0,43.0,1606.0,43.0,2.0,627.0,553.0,3.16
