,年度,所属球団,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,死球,三振,併殺打,打率,長打率,出塁率
0,2012,福岡ソフトバンク,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
1,2013,福岡ソフトバンク,6,7,6,2,0,0,0,0,0,0,0,1,1,0,0,0,3,0,0.0,0.0,0.0
2,2014,福岡ソフトバンク,11,15,13,1,1,0,0,0,1,0,0,1,2,0,0,0,6,0,0.077,0.077,0.077
3,2015,福岡ソフトバンク,43,51,44,6,7,1,0,0,8,4,2,0,4,2,0,1,4,2,0.159,0.182,0.17
4,2016,福岡ソフトバンク,41,97,90,15,22,3,0,0,25,6,4,0,5,1,1,0,15,0,0.244,0.278,0.25
5,2017,福岡ソフトバンク,10,3,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.33299999999999996,0.33299999999999996,0.33299999999999996
6,2018,福岡ソフトバンク,59,264,249,32,79,12,4,3,108,26,9,3,3,2,8,2,33,2,0.317,0.434,0.341
7,2019,福岡ソフトバンク,114,436,409,37,99,14,2,3,126,27,10,13,12,1,10,4,85,2,0.242,0.308,0.267
8,2020,福岡ソフトバンク,77,180,170,25,41,7,2,1,55,8,6,1,4,2,3,1,25,2,0.24100000000000002,0.324,0.256
9,2021,福岡ソフトバンク,98,292,273,41,76,7,2,4,99,21,14,1,7,1,9,2,42,5,0.278,0.363,0.305
10,nan,通　算,464,1345,1257,162,326,44,10,11,423,92,45,20,38,9,31,10,213,13,0.259,0.337,0.281
